account_id,contact_id,insurance_type
12167890,54904662,Car Insurance
34065752,41709799,Car Insurance
57043532,17526094,Health Insurance
98349458,22040365,Health Insurance
44143922,19681167,Car Insurance
27915970,61301176,Health Insurance
4447840,44322415,House Insurance
83544208,40530481,House Insurance
78524643,7827860,Health Insurance
47868892,52427929,House Insurance
87813240,63136076,Car Insurance
29053825,87186855,House Insurance
69346821,99519628,House Insurance
59751686,91474389,Car Insurance
5624431,14099915,House Insurance
99717462,28684437,House Insurance
79076106,24134328,Health Insurance
14507356,76620106,Health Insurance
71392914,58764757,Health Insurance
68984527,74837510,Car Insurance
47129512,87740936,House Insurance
65523917,65988502,Health Insurance
12511666,55347034,House Insurance
98685254,80172004,House Insurance
37000529,62619373,Health Insurance
1665213,77763441,Health Insurance
51147092,8867572,Health Insurance
39621254,24449447,Health Insurance
54253404,65369716,Car Insurance
46280456,39093701,Car Insurance
97545916,5679002,House Insurance
72399650,6529984,Car Insurance
398531,14518924,Car Insurance
86702476,9293503,Car Insurance
5695111,61489602,Health Insurance
81689838,34249685,Health Insurance
94596418,88749937,Car Insurance
97810727,3801298,Car Insurance
16172060,55689091,Health Insurance
44741377,35887183,House Insurance
37792135,96874292,Car Insurance
8000839,45583629,Health Insurance
66263771,98701096,Car Insurance
25751479,95568260,Car Insurance
74545327,48885666,Car Insurance
97662679,64164466,Health Insurance
59596233,84465070,Car Insurance
38125755,2561966,House Insurance
66589882,55192843,Car Insurance
90601161,58128576,Car Insurance
38070394,28880259,Health Insurance
19747627,13097311,House Insurance
53556100,13460304,Health Insurance
69973186,70153715,Car Insurance
1369979,60069369,House Insurance
20565660,18941088,Health Insurance
32041806,388683,House Insurance
68346758,82350128,Car Insurance
81004384,34006302,House Insurance
42480102,47272218,Car Insurance
54749233,93070875,Car Insurance
64749034,68399557,Car Insurance
86795241,96351533,House Insurance
11202389,25926309,House Insurance
98147409,76573688,Health Insurance
4685567,10407516,Car Insurance
70822885,55004835,Car Insurance
29642987,81108176,Health Insurance
45771999,39390332,Health Insurance
64262732,25783496,House Insurance
70832893,90630204,Health Insurance
42708718,86532134,House Insurance
34277702,2596760,Car Insurance
12033257,13764635,Health Insurance
24162937,55127064,Health Insurance
94383268,19824308,Health Insurance
4262335,11307769,Health Insurance
82361801,27465577,Health Insurance
54421929,65038821,Car Insurance
97401346,19115655,House Insurance
72822321,29661233,Car Insurance
87545582,95329560,House Insurance
74401804,51080743,House Insurance
68181261,10088428,Car Insurance
60713719,3182075,Health Insurance
4896831,39550042,House Insurance
55888953,3659321,Health Insurance
59567269,45259579,Car Insurance
85407902,60027331,Health Insurance
65363435,82537145,Car Insurance
65907900,14608676,Car Insurance
52206959,22876693,House Insurance
19294046,11017650,House Insurance
28164809,68074303,House Insurance
58691410,60043462,Health Insurance
70331682,84110190,Car Insurance
78782410,80565779,Health Insurance
57208571,67328009,House Insurance
76809833,93751580,House Insurance
35084118,20697166,Car Insurance
62262758,99323405,Health Insurance
56203679,38232516,Health Insurance
18615082,60976471,Health Insurance
25975270,33580529,Health Insurance
84463286,85731408,House Insurance
61165028,77709926,Car Insurance
5536513,24960572,Health Insurance
52594875,27345915,Car Insurance
28723813,52052271,House Insurance
61749789,2433018,Health Insurance
24671389,59155123,House Insurance
40680812,50582662,House Insurance
34626674,54778295,House Insurance
57011338,90454065,House Insurance
95666168,81083420,Car Insurance
16586691,91760896,Car Insurance
87899344,95496285,Health Insurance
94008245,3456710,Car Insurance
779470,52558192,Car Insurance
72906931,83068479,House Insurance
68913485,5877493,Car Insurance
47754541,35725355,Health Insurance
35298784,73214585,Health Insurance
40914576,19400814,Health Insurance
2419301,30749253,House Insurance
60437054,45934624,Health Insurance
6182001,4199232,Health Insurance
66824499,36489369,Health Insurance
55097920,13713905,Car Insurance
65685724,30375232,House Insurance
75125576,53078425,Health Insurance
48223737,83436575,House Insurance
14560840,36922146,Health Insurance
49866552,83181015,Health Insurance
57857091,81600033,Health Insurance
1331415,59243034,Car Insurance
87081804,67295649,House Insurance
31287616,98182202,Car Insurance
76749375,21169699,Health Insurance
2319702,92262097,Car Insurance
62065321,73602284,House Insurance
95241876,26032735,House Insurance
22643363,62679631,Car Insurance
41318671,33060569,House Insurance
12975055,86665402,Car Insurance
9286205,87793646,Car Insurance
52107752,64480818,Health Insurance
60974941,41722955,House Insurance
77829371,48723086,Car Insurance
99551657,87280365,Car Insurance
9121148,86188080,Car Insurance
73821250,85462972,Car Insurance
15195297,41419862,House Insurance
27425838,89295645,Car Insurance
18072575,84791865,Car Insurance
91873771,93258557,Car Insurance
52568316,59841074,Car Insurance
34179544,400281,Car Insurance
92030014,92282224,Car Insurance
48049327,24196967,Car Insurance
61107698,42011604,House Insurance
88126139,86814673,House Insurance
6063538,28247010,Car Insurance
16953891,89637807,Health Insurance
82695099,65038821,Car Insurance
38829999,18111524,Car Insurance
14067183,94210039,Car Insurance
83010824,33427788,House Insurance
9540599,91700742,Car Insurance
25760202,4895827,House Insurance
649711,5981102,Car Insurance
21132474,98942566,Health Insurance
32788043,25877275,Car Insurance
2673670,64872617,Health Insurance
76976848,48255493,Car Insurance
44200138,96068373,Health Insurance
7172777,4620451,Health Insurance
87603252,61575156,Car Insurance
56760172,99218251,Health Insurance
72584047,98069281,Car Insurance
68974275,46514002,House Insurance
16994037,45569295,Car Insurance
77791791,76034549,House Insurance
59056320,64072439,House Insurance
19128945,11317282,House Insurance
55664732,97736392,House Insurance
68226267,45203241,Health Insurance
98396412,22174533,House Insurance
96510911,78394515,Health Insurance
62217824,6931203,Car Insurance
5813112,81689002,House Insurance
76637640,39821209,House Insurance
16813784,67393902,Car Insurance
12355987,5638969,Car Insurance
65353729,92012753,Health Insurance
87675378,10376029,House Insurance
98399544,68973399,Car Insurance
21735420,63985956,House Insurance
14523381,75850559,Car Insurance
35875978,29558219,Health Insurance
33493664,97553274,Car Insurance
3440405,10542700,Health Insurance
47247347,52417079,Car Insurance
98594130,49305000,House Insurance
39653469,28702496,Car Insurance
40567890,10691643,House Insurance
34812327,55875028,House Insurance
83467560,39826497,Car Insurance
83158594,99948629,Health Insurance
83740374,98852068,Car Insurance
18578615,19735453,Car Insurance
92448610,46628556,House Insurance
97908820,33211838,House Insurance
35400746,95610042,House Insurance
58434817,54835179,Health Insurance
93580054,36797583,Car Insurance
1075041,57356531,Health Insurance
47273390,57746150,Car Insurance
84454702,50530973,Car Insurance
36932594,26132967,House Insurance
44616408,81054966,House Insurance
4423156,78588328,Car Insurance
64078350,72281155,Car Insurance
83347119,3482768,Car Insurance
14347940,80133860,Car Insurance
5970925,58427191,House Insurance
2617866,32981882,Health Insurance
57313368,162035,Car Insurance
53721381,49501387,Health Insurance
8875217,20152053,Car Insurance
20657688,68281499,Car Insurance
29706760,83289907,House Insurance
8372076,64261249,Car Insurance
34943855,31377742,Health Insurance
57789190,68833946,Car Insurance
56372374,16392746,Health Insurance
7842552,28430140,Health Insurance
37140958,183566,House Insurance
78722663,4595284,Car Insurance
7380512,54235260,House Insurance
79587475,45928722,House Insurance
47499719,92997565,House Insurance
43965352,94365706,Car Insurance
3928951,35650017,Car Insurance
69998881,12239844,House Insurance
79314993,86675354,House Insurance
34749355,3802124,Health Insurance
81675431,60246552,Car Insurance
86014529,35942361,Car Insurance
84336187,12292333,Car Insurance
69430318,88773126,Health Insurance
25301378,54625585,House Insurance
97727560,31091604,Car Insurance
55611044,9123216,House Insurance
30355782,53364770,House Insurance
25430234,2093633,House Insurance
749147,5527051,Car Insurance
54191143,87204267,House Insurance
35001002,16276043,House Insurance
88639413,39642303,Health Insurance
67272214,91773908,Health Insurance
53061658,91766277,House Insurance
81625328,17738864,House Insurance
3135294,14290579,House Insurance
39387894,88360907,Health Insurance
27498513,20064994,House Insurance
37298828,20790507,House Insurance
8570886,96618083,House Insurance
48319603,78708379,Health Insurance
9539622,42473944,House Insurance
10266960,85682034,Car Insurance
42595393,48227026,Health Insurance
77146196,29198203,House Insurance
13962159,13762043,House Insurance
8365708,14758971,House Insurance
85733346,31836850,Car Insurance
50787484,4186316,House Insurance
24281575,35545897,Health Insurance
87670068,81652485,Health Insurance
35227692,21467956,Health Insurance
54412598,42506005,Car Insurance
65124497,59723724,Car Insurance
64823146,72939481,Health Insurance
70795036,82395682,Car Insurance
92841988,62007298,House Insurance
21727432,78053380,House Insurance
42371776,79750917,House Insurance
70979355,73919651,Car Insurance
34593335,49979693,Health Insurance
86071092,29491900,House Insurance
38680209,58239544,Health Insurance
92982017,35821419,Car Insurance
9189049,58640146,Car Insurance
27132193,25100412,House Insurance
11322968,58896568,Health Insurance
90310571,16392397,House Insurance
45952558,21266644,Health Insurance
66445960,52183922,House Insurance
15845233,40432766,Car Insurance
21035897,83883965,Health Insurance
25064593,93158070,Car Insurance
44762800,89271217,Health Insurance
93616477,16634433,Car Insurance
20541136,12499986,Car Insurance
35061990,84894392,Car Insurance
78226005,77555609,House Insurance
70062556,6310456,Car Insurance
41084094,26940683,Car Insurance
96382622,93892857,House Insurance
99370126,36267336,Health Insurance
4564572,42750977,Car Insurance
38944241,15233649,Health Insurance
74377740,39162011,House Insurance
72072924,44989795,Car Insurance
46132255,7876929,Health Insurance
28694064,75974159,Car Insurance
41723716,58149202,Health Insurance
93966270,69861351,Car Insurance
64924031,51078909,Health Insurance
15621543,94670329,House Insurance
35200823,23345315,Health Insurance
85510121,53848646,House Insurance
23719149,21052950,Car Insurance
490165,13964466,Car Insurance
93535892,29677356,House Insurance
8941377,11276935,House Insurance
75813266,83023573,Car Insurance
51158170,35632229,Health Insurance
64472637,43588325,House Insurance
97439509,53125394,Health Insurance
84833883,68154475,Health Insurance
80840646,53057900,Health Insurance
5066220,15628378,House Insurance
78625702,26694305,Car Insurance
1613545,83274907,Health Insurance
50699762,28612796,Car Insurance
58235732,9707877,House Insurance
85638432,85422119,Health Insurance
28588559,22362158,Car Insurance
65207457,50208186,House Insurance
38668367,40754950,Health Insurance
71414848,3783680,House Insurance
59619254,74403933,Car Insurance
1594711,55069737,Health Insurance
57030079,29807206,House Insurance
93122431,46370879,House Insurance
78367384,44271322,House Insurance
18745185,16017576,Car Insurance
27539780,88874318,House Insurance
41781504,43946985,Car Insurance
84057500,6187400,House Insurance
73784287,50480804,Car Insurance
63602043,80953214,Car Insurance
59920081,58384683,Health Insurance
2680655,58391352,Health Insurance
83366397,92203039,House Insurance
77858204,49726687,Health Insurance
17973925,50878699,Health Insurance
89706941,79156307,House Insurance
95735417,25517348,Car Insurance
60012816,37781532,House Insurance
38710135,30955862,Car Insurance
52632516,38997024,Car Insurance
55783775,18767312,Car Insurance
30460123,31836842,Health Insurance
60464481,6666360,Car Insurance
18448130,32721225,Car Insurance
98618146,27949862,House Insurance
62726463,48162437,House Insurance
58556405,56157431,Health Insurance
16554794,76924632,House Insurance
23429741,65775094,Car Insurance
55541377,98691847,House Insurance
79103345,3812744,Health Insurance
11098528,26556936,Health Insurance
90818699,56216556,House Insurance
86874126,79224436,House Insurance
31609667,38262118,House Insurance
52007822,23014644,House Insurance
92323704,60024698,Health Insurance
57237548,8160436,House Insurance
9633113,19951419,Health Insurance
24188440,86939475,Health Insurance
24253046,57074265,Health Insurance
9780173,22035161,House Insurance
6985970,52114000,Health Insurance
67312419,72464946,House Insurance
38581211,61396821,Car Insurance
23085605,61314462,Car Insurance
65762808,41023253,Car Insurance
55943589,6679513,Health Insurance
9427824,73226121,Health Insurance
46725930,60469758,Health Insurance
31344431,62309086,House Insurance
85156508,65756291,Health Insurance
61448596,35908617,Health Insurance
70153868,4510377,House Insurance
21114992,57840041,Car Insurance
27144164,85279477,Car Insurance
22870533,58533693,Car Insurance
15863094,24267525,Health Insurance
82280781,87369414,Car Insurance
75406517,96633977,House Insurance
25759198,75007205,Health Insurance
63745192,35437669,House Insurance
93982406,91430310,Car Insurance
59106732,52048630,Health Insurance
27449243,56040049,Health Insurance
59041811,58512909,Car Insurance
87078734,58035462,House Insurance
10427979,97293182,Car Insurance
86333666,94246454,Car Insurance
57965215,2430103,Car Insurance
87191960,78201770,Health Insurance
33087526,46639203,House Insurance
75844177,74121800,House Insurance
69350487,40389838,Health Insurance
69617587,45851479,Health Insurance
4142371,75842334,Car Insurance
89669037,72132772,House Insurance
91426450,9710867,Health Insurance
60428927,75037106,House Insurance
31505054,13115644,Health Insurance
30603262,99366321,Health Insurance
47581329,96882246,Car Insurance
48357471,32733832,House Insurance
51436402,23577526,Health Insurance
58037646,77336387,Car Insurance
41543565,1018713,Health Insurance
92941796,27941265,Car Insurance
62403908,36152262,Car Insurance
78967879,40322752,Car Insurance
2262165,19491288,Car Insurance
86776381,82157176,House Insurance
18836407,58484917,House Insurance
64191174,79914728,Car Insurance
88954972,47848384,Car Insurance
27066191,4752127,House Insurance
13690516,72080130,Health Insurance
28015260,72818781,Health Insurance
15495002,43947477,Health Insurance
36097861,21441790,Health Insurance
50846878,20320617,Health Insurance
71496037,20672803,House Insurance
95704789,69372224,Health Insurance
97029456,61101930,Health Insurance
18831103,50144521,Car Insurance
15756064,33483079,House Insurance
29600359,27425390,Health Insurance
81053119,13289371,Health Insurance
59518564,40047697,House Insurance
40816079,41954154,Car Insurance
85723162,66930622,Health Insurance
76004954,47528444,Car Insurance
31631666,56636349,Car Insurance
61105900,66409830,Health Insurance
18139284,70054034,Car Insurance
72932255,66930931,House Insurance
33817189,51933606,House Insurance
59020806,59727058,House Insurance
82400981,37286371,House Insurance
75360886,30757568,Health Insurance
895865,27020185,House Insurance
68258335,11139450,Car Insurance
95939121,31951674,House Insurance
48038736,88465803,Car Insurance
21113138,22353238,House Insurance
39548812,53450894,Car Insurance
92600514,51507031,Car Insurance
72284419,62985501,House Insurance
25989034,64899308,Health Insurance
41236742,65029702,Car Insurance
8682601,59604145,Health Insurance
23783661,27079299,Health Insurance
48339234,40293567,Car Insurance
56225439,6441701,House Insurance
84960202,54167307,House Insurance
6126431,53900609,House Insurance
70085539,66132660,House Insurance
25994777,66038937,Car Insurance
21637401,88207704,Car Insurance
70200098,69854735,House Insurance
69631618,40764969,Health Insurance
96059427,32550805,Car Insurance
91588848,38262061,Health Insurance
56963778,34031210,House Insurance
53987209,65411611,Health Insurance
83958059,1128039,Health Insurance
12555997,60119396,House Insurance
5195535,41215321,House Insurance
14088346,82810190,House Insurance
60658378,31271773,Health Insurance
87719810,53992361,Health Insurance
90432824,14857019,House Insurance
28814389,24804252,House Insurance
82557011,41433232,House Insurance
62227390,56524764,Car Insurance
92245258,31690664,House Insurance
47397374,15715224,House Insurance
53443512,40454145,Car Insurance
95574219,74134370,Car Insurance
66257000,95194577,Car Insurance
3422776,73052793,House Insurance
25050529,25653948,Car Insurance
69927078,84232950,Health Insurance
82380127,92061862,House Insurance
27948234,22378135,Car Insurance
50245890,28742042,Health Insurance
82084170,36066403,Health Insurance
19787373,13891171,House Insurance
86296529,36246110,Health Insurance
21633991,4748410,House Insurance
63295726,61108655,Car Insurance
95871202,48816759,Car Insurance
75691842,63269534,Health Insurance
57863411,31546022,Health Insurance
71247634,73388797,House Insurance
73988534,14883132,Car Insurance
46011268,69601004,Car Insurance
24119587,9846079,Health Insurance
55048172,86835780,House Insurance
91864296,26853184,House Insurance
11668623,38811651,Health Insurance
31122024,45328581,Car Insurance
76178084,14747477,Health Insurance
24446147,28915400,Car Insurance
63272445,22362594,House Insurance
30940635,1428371,Health Insurance
18543812,51621082,Health Insurance
21142055,720288,House Insurance
59273394,94321135,Health Insurance
5877275,19680530,Health Insurance
21665001,4132197,Car Insurance
64261610,30133001,Car Insurance
25093552,80686882,House Insurance
33328224,51598657,House Insurance
40158672,43065338,Health Insurance
32336882,79818752,House Insurance
20960497,46332502,House Insurance
95972236,19502968,Health Insurance
5270555,45084409,Health Insurance
44077815,8150237,House Insurance
91775930,84465070,House Insurance
10547181,11031397,Car Insurance
49645823,48074441,Health Insurance
91417156,16662816,Health Insurance
45832324,33243096,Car Insurance
43352817,11791632,House Insurance
97206973,41051101,Health Insurance
34708078,34566662,House Insurance
48908419,97221255,Car Insurance
93160393,17046191,Health Insurance
12823024,57694050,House Insurance
45474578,54581267,Car Insurance
23838851,15111168,Health Insurance
16189718,65369908,Health Insurance
84628098,55210577,Car Insurance
73189599,4983854,Health Insurance
70669927,9170502,Health Insurance
77155717,57300006,Health Insurance
24126013,27949645,Car Insurance
27408352,69146731,Health Insurance
85097246,92808583,Car Insurance
45355159,98117752,Health Insurance
77135886,37400830,Car Insurance
4589103,76283477,Car Insurance
2082175,68673386,Health Insurance
95662740,84116659,Car Insurance
2011936,5817576,Health Insurance
59085270,74282378,Car Insurance
39340292,19169791,Car Insurance
44337553,21024618,House Insurance
43851451,72499437,Car Insurance
68055054,91607793,Car Insurance
55371661,37748351,House Insurance
6886865,59930311,Health Insurance
41390053,94437455,Health Insurance
89795063,82570903,Car Insurance
7029969,29522895,House Insurance
11323411,24028641,Car Insurance
78947141,7478369,Health Insurance
57874099,37242799,Car Insurance
73691775,53193950,Health Insurance
23877925,1786385,Health Insurance
13953112,99105226,Car Insurance
61724080,88717641,Car Insurance
98387693,84703343,House Insurance
61384718,21613954,House Insurance
29008417,81376430,House Insurance
59826403,53590364,Health Insurance
15134518,63024745,Car Insurance
77963553,57455028,Car Insurance
49213909,16354685,Health Insurance
48386102,970701,Health Insurance
49075777,28586451,House Insurance
68254116,380294,Health Insurance
43879065,36103179,Health Insurance
49958141,8227987,House Insurance
70658379,32193837,Health Insurance
87918451,64279443,House Insurance
97779092,41620008,Health Insurance
56526089,27930757,Health Insurance
29242705,66537314,House Insurance
29431650,45544331,House Insurance
29411922,23257812,House Insurance
11927691,5083913,House Insurance
36674180,12568712,Car Insurance
54073976,74872476,Health Insurance
56797773,28879288,House Insurance
97781500,97941305,Car Insurance
14792036,6184967,Car Insurance
73576671,33943658,Health Insurance
65333265,34204628,Car Insurance
10845964,38380349,Car Insurance
26059615,33952544,Car Insurance
85874648,13405121,Health Insurance
81851512,56885047,Health Insurance
8864597,16988689,Car Insurance
65430239,5740940,House Insurance
81983058,65160571,Car Insurance
77016075,27729296,Health Insurance
8202492,25571613,Health Insurance
32195277,83624460,Health Insurance
78509160,71392812,Health Insurance
65289735,7302629,Health Insurance
54515838,88145055,Health Insurance
620569,5250956,House Insurance
22186236,16942248,House Insurance
6843391,86550200,Car Insurance
83084009,92515594,Health Insurance
79701295,38424854,Health Insurance
61291548,53524372,House Insurance
6267310,7695272,Health Insurance
22235925,33567916,House Insurance
80650593,4633106,Health Insurance
49918728,24203894,House Insurance
99815537,79420684,Car Insurance
7597259,57396492,House Insurance
73162053,80380358,Health Insurance
57445259,63589224,Car Insurance
18472432,2092632,Car Insurance
8803907,28003058,Car Insurance
38267812,83414324,House Insurance
10399998,59194220,House Insurance
71271273,21756352,Health Insurance
27634140,87023226,Health Insurance
50894891,93194032,Car Insurance
42717465,70747950,Health Insurance
20154830,37783195,Health Insurance
19421190,66502290,House Insurance
30177652,57624871,Car Insurance
74819873,7853783,Health Insurance
89958876,29346236,House Insurance
58457020,85511022,Car Insurance
39394765,56051180,Car Insurance
67582083,97469754,Health Insurance
98759270,77308004,House Insurance
7419182,17421279,House Insurance
30169413,41723517,Car Insurance
80186908,64135537,Car Insurance
24358801,39583869,Car Insurance
39476626,1153485,House Insurance
30833688,63970513,Health Insurance
65993917,75970880,House Insurance
18354778,3692715,Car Insurance
99152020,80241809,Health Insurance
68167276,90665602,House Insurance
53490227,4298753,Health Insurance
69641926,43948683,House Insurance
34598424,17167565,Health Insurance
27988037,27509139,Car Insurance
94262526,10172457,House Insurance
71300175,22276725,House Insurance
79386819,29931792,House Insurance
53120938,96344098,Health Insurance
71405190,19712425,Health Insurance
92289995,78139211,Health Insurance
72738601,34089656,Car Insurance
2965755,86822879,Health Insurance
45116738,64043996,Health Insurance
18848395,9139249,House Insurance
7036656,88373733,Health Insurance
15906784,90445093,House Insurance
40027413,18175912,Car Insurance
61582795,57371622,House Insurance
31263781,9268497,House Insurance
78039207,46571,Health Insurance
84908787,23117935,Car Insurance
9424103,45982301,Health Insurance
34272662,90328364,Car Insurance
16593025,90451347,Car Insurance
43796979,69813097,Health Insurance
4686915,79294730,Health Insurance
90812099,52742156,Health Insurance
74222950,48873852,House Insurance
66313156,97163136,House Insurance
81162044,91449761,House Insurance
25394062,42806617,Car Insurance
52043134,92077382,Health Insurance
296308,20740437,Car Insurance
67935172,92223824,House Insurance
35380329,39200081,House Insurance
52135019,18481803,House Insurance
22575343,78626370,Car Insurance
43463317,64020500,Health Insurance
96921996,84353485,House Insurance
53558238,1790327,House Insurance
24893713,19321532,House Insurance
70050425,3648348,House Insurance
85933456,33519109,Car Insurance
53904479,65424159,House Insurance
84700432,60567567,Health Insurance
69390258,47189778,Health Insurance
87378510,64061218,Car Insurance
81625873,28655796,Health Insurance
80024163,50394524,Car Insurance
73770862,44480826,House Insurance
86954850,16769778,House Insurance
94547376,62097651,House Insurance
